id,title,description,availability,condition,price,link,image_link,brand
PureMatcha-50gram,Pure Matcha 50g,"Pure Matcha 50g dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. 100% Pure Matcha Bubuk Matcha Murni Tanpa Gula [TIDAK MANIS] Netto: 50g Bubuk matcha murni tanpa campuran apapun — asli, alami, dan tanpa gula. Aroma khasnya sangat kuat dan harum, menghadirkan rasa matcha autentik yang kaya. Penyajian: Untuk minuman: cukup gunakan 3–5g per sajian. Untuk kue: disesuaikan Checkout mudah melalui marketplace resmi Homelab.",in stock,new,69990 IDR,https://www.homelab.co.id/shop/purematcha-50gram,https://cf.shopee.co.id/file/id-11134207-822wh-mnifg1tt1ma011,Homelab
PouchS200gr-Matcha,Sweet Matcha Powder 200g,"Sweet Matcha Powder 200g varian 200g dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Bubuk Matcha Premium (Manis) Terbuat dari Matcha pilihan yang diimpor langsung dari Jepang. Kaya akan antioxidant dan terbuat dari bahan natural. Bubuk Matcha sudah dicampur dengan cane sugar asli. Gampang disajikan, 20 gram (1 1/2 sendok) di campur dengan susu UHT/Segar/soy milk secukupnya sesuai selera. Cocok Checkout mudah melalui marketplace resmi Homelab.",in stock,new,89990 IDR,https://www.homelab.co.id/shop/pouchs200gr-matcha,https://cf.shopee.co.id/file/37c356144a77396c2f9fe4fe12822671,Homelab
CR-Matcha-Yuki,Matcha Ceremonial Grade 30g Powder - Yuki,"Matcha Ceremonial Grade 30g Powder varian Yuki dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Netto : 30 gram Ceremonial Grade 100% Matcha from Japan How to enjoy ceremonial matcha: - 1.5g or 2/3 teaspoon of matcha powder - 100ml of 75* C warm water - Whisk ingredients above until frothy, smooth & no visible clumps Checkout mudah melalui marketplace resmi Homelab.",in stock,new,135000 IDR,https://www.homelab.co.id/shop/cr-matcha-yuki,https://cf.shopee.co.id/file/id-11134207-7ra0i-mdpr3407kiu036,Homelab
CR-Matcha-Hana,Matcha Ceremonial Grade 30g Powder - Hana,"Matcha Ceremonial Grade 30g Powder varian Hana dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Netto : 30 gram Ceremonial Grade 100% Matcha from Japan How to enjoy ceremonial matcha: - 1.5g or 2/3 teaspoon of matcha powder - 100ml of 75* C warm water - Whisk ingredients above until frothy, smooth & no visible clumps Checkout mudah melalui marketplace resmi Homelab.",in stock,new,295000 IDR,https://www.homelab.co.id/shop/cr-matcha-hana,https://cf.shopee.co.id/file/id-11134207-7ra0i-mdpr3407kiu036,Homelab
CR-Matcha-Mori,Matcha Ceremonial Grade 30g Powder - Mori,"Matcha Ceremonial Grade 30g Powder varian Mori dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Netto : 30 gram Ceremonial Grade 100% Matcha from Japan How to enjoy ceremonial matcha: - 1.5g or 2/3 teaspoon of matcha powder - 100ml of 75* C warm water - Whisk ingredients above until frothy, smooth & no visible clumps Checkout mudah melalui marketplace resmi Homelab.",in stock,new,450000 IDR,https://www.homelab.co.id/shop/cr-matcha-mori,https://cf.shopee.co.id/file/id-11134207-7ra0i-mdpr3407kiu036,Homelab
Yukata100gr-CrMatcha,Yukata 100% Pure Ceremonial Grade Matcha Po.....,"Yukata 100% Pure Ceremonial Grade Matcha Po..... dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Yukata – 100% Pure Ceremonial Grade Uji Matcha Powder (100g) Origin: Uji, Kyoto – Japan Harvest: 1st & 2nd Cultivar: Yabukita Aroma : Nutty, Fresh and Rich Tea Flavour Nikmati keaslian matcha Uji dalam setiap sendok Homelab Washo. Dibuat dari daun teh pilihan hasil panen pertama dan kedua musim semi, Checkout mudah melalui marketplace resmi Homelab.",in stock,new,169990 IDR,https://www.homelab.co.id/shop/yukata100gr-crmatcha,https://cf.shopee.co.id/file/id-11134207-8224v-mfxp4f3koo3xd6,Homelab
MC-Tenarai,Tenarai Uji Kyoto Ceremonial Matcha High Grad...,"Tenarai Uji Kyoto Ceremonial Matcha High Grad... dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab – Tenarai Uji Kyoto Ceremonial Matcha High Grade (20g) Bold • Strong • Versatile Ceremonial matcha dari Uji, Kyoto dengan karakter rasa lebih bold dan kuat. Blend dari cultivar Okumidori, Samidori, dan Yabukita dengan kombinasi 1st & 2nd harvest untuk profil yang lebih tegas, versatile, dan tetap seimbang. Checkout mudah melalui marketplace resmi Homelab.",in stock,new,155900 IDR,https://www.homelab.co.id/shop/mc-tenarai,https://cf.shopee.co.id/file/id-11134207-822wj-mlbuv8tlthq9af,Homelab
MC-Wakamurasaki,Wakamurasaki Matcha 20g,"Wakamurasaki Matcha 20g dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab – Wakamurasaki Uji Kyoto Ceremonial Matcha (20g) Balanced • Clean • Versatile Wakamurasaki adalah ceremonial matcha dari Uji, Kyoto – Jepang dengan karakter rasa seimbang, clean, dan mudah dinikmati. Menggunakan blend cultivar Okumidori, Samidori, dan Yabukita dengan 1st harvest (Ichibancha) untuk menghasil Checkout mudah melalui marketplace resmi Homelab.",in stock,new,187000 IDR,https://www.homelab.co.id/shop/mc-wakamurasaki,https://cf.shopee.co.id/file/id-11134207-822wo-mlbuy4czri837f,Homelab
Toples200gr-PureMatcha,Pure Uji Matcha 200g,"Pure Uji Matcha 200g dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. 100% Pure Matcha from Uji Japan.Netto: 200gTanpa campuran, Asli pure matcha!Tidak manis & Tanpa gula!Penyajian untuk minuman hanya perlu 5gram perserving, Untuk pembuatan kue tergantung resep.Aroma sangat kuat dan sangat harum!Cocok buat diminum langsung seduh dengan air panas & buat menu makanan / buat kue.Manfaat Mat Checkout mudah melalui marketplace resmi Homelab.",in stock,new,267890 IDR,https://www.homelab.co.id/shop/toples200gr-purematcha,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2022/2/17/41235ce0-c0d3-4898-8e97-051961f19861.png~tplv-aphluv4xwc-origin-jpeg.jpeg?dr=15568&from=520841845&height=1080&idc=my&ps=933b5bde&shcp=2c1af732&shp=1f0b6a75&t=555f072d&width=1080,Homelab
MC-Ujinoko,Ujinoko Matcha 20g,"Ujinoko Matcha 20g dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab – Ujinoko Uji Kyoto Premium Ceremonial Matcha (20g) Deep Umami • Elegant • Layered Ujinoko adalah premium ceremonial matcha dari Uji, Kyoto – Jepang dengan karakter rasa deep umami, elegan, dan berlapis. Menggunakan blend cultivar Okumidori, Samidori, dan Yabukita dengan 1st harvest (Ichibancha) untuk mengh Checkout mudah melalui marketplace resmi Homelab.",in stock,new,225000 IDR,https://www.homelab.co.id/shop/mc-ujinoko,https://cf.shopee.co.id/file/id-11134207-822wh-mlbv7lvm4lj6d1,Homelab
