id,title,description,availability,condition,price,link,image_link,brand
shopee-48152593513,100% Pure Matcha 1KG,"100% Pure Matcha 1KG dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-48152593513,https://cf.shopee.co.id/file/id-11134207-8224x-mhu5u9f4i1hi56,Homelab
shopee-6158018179,"100% Pure Uji Matcha, 100% Pure Hojicha & 1.....","100% Pure Uji Matcha, 100% Pure Hojicha & 1..... dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-6158018179,https://cf.shopee.co.id/file/c3116bac75966f9d07b613712fd7e0d1,Homelab
shopee-4641539590,Paket Gift Box Bubuk Matcha / Hojicha / Cho...,"Paket Gift Box Bubuk Matcha / Hojicha / Cho... dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-4641539590,https://cf.shopee.co.id/file/4435aefc8d093b658781689cbcd619f7,Homelab
shopee-3649295448,Promo Beli Matcha Powder 2 Bungkus - Gratis...,"Promo Beli Matcha Powder 2 Bungkus - Gratis... dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-3649295448,https://cf.shopee.co.id/file/e2424381abd61d0c42e84525f1cba79e,Homelab
shopee-3951377923,Pure Uji Matcha & 100% Dark Chocolate Powde...,"Pure Uji Matcha & 100% Dark Chocolate Powde... dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-3951377923,https://cf.shopee.co.id/file/3a0794c88f9c09295f0281d71ca38079,Homelab
shopee-23649909534,Washo 100% Organic Pure Ceremonial Grade Ma.....,"Washo 100% Organic Pure Ceremonial Grade Ma..... dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-23649909534,https://cf.shopee.co.id/file/id-11134207-7qul4-ljuu1ptgyhxf3e,Homelab
shopee-42124341181,"Yukata 100% 1kg, Pure Ceremonial Grade Matc...","Yukata 100% 1kg, Pure Ceremonial Grade Matc... dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-42124341181,https://cf.shopee.co.id/file/id-11134207-82252-mfv4qdlaxmvhf9,Homelab
shopee-4381584636,100% Dark Chocolate & Pure Taro Premium 100.....,"100% Dark Chocolate & Pure Taro Premium 100..... dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-4381584636,https://cf.shopee.co.id/file/c3d6d9d9ca0b67b9637e06fe6b9bfa8e,Homelab
shopee-9436147393,3 X 100% Dark Chocolate Powder / Bubuk Cokl.....,"3 X 100% Dark Chocolate Powder / Bubuk Cokl..... dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-9436147393,https://cf.shopee.co.id/file/fe6efd8317e9bb9c685d81380e00f7cb,Homelab
shopee-17278045774,Bubuk Minuman BLACK SESAME LATTE - Premium......,"Bubuk Minuman BLACK SESAME LATTE - Premium...... dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-17278045774,https://cf.shopee.co.id/file/76031b25c51b42f52d69a07c5dedebba,Homelab
shopee-9538613820,Bubuk Minuman Coklat Premium / Chocolate Po.....,"Bubuk Minuman Coklat Premium / Chocolate Po..... dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-9538613820,https://cf.shopee.co.id/file/7004400a3494001f6f83381bba1fddb0,Homelab
